INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,IMP_AGE,M_IMP_AGE,AGE_BIN,IMP_YOJ,M_IMP_YOJ,IMP_INCOME,M_IMP_INCOME,IMP_JOB,M_IMP_JOB,IMP_HOME_VAL,M_IMP_HOME_VAL,IMP_TRAVTIME,IMP_BLUEBOOK,OLDCLAIM_BIN,IMP_CAR_AGE,M_IMP_CAR_AGE
1,0,0,0,60,0,11,"$67,349",No,$0,z_No,M,PhD,Professional,14,Private,"$14,230",11,Minivan,yes,"$4,461",2,No,3,18,Highly Urban/ Urban,60,0,4,11,0,67349.381617,0,Professional,0,0,0,13.950586243,14230,1,18,0
2,0,0,0,43,0,11,"$91,449",No,"$257,252",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940",1,Minivan,yes,$0,0,No,0,1,Highly Urban/ Urban,43,0,2,11,0,91449.254635,0,z_Blue Collar,0,257251.63539,0,21.943208928,14940,0,1,0
4,0,0,0,35,1,10,"$16,039",No,"$124,191",Yes,z_F,z_High School,Clerical,5,Private,"$4,010",4,z_SUV,no,"$38,690",2,No,3,10,Highly Urban/ Urban,35,0,1,10,0,16038.587101,0,Clerical,0,124190.75286,0,5,4010,3,10,0
5,0,0,0,51,0,14,,No,"$306,251",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440",7,Minivan,yes,$0,0,No,0,6,Highly Urban/ Urban,51,0,3,14,0,58957.01,1,z_Blue Collar,0,306251.38064,0,31.904647209,15440,0,6,0
6,0,0,0,50,0,,"$114,986",No,"$243,925",Yes,z_F,PhD,Doctor,36,Private,"$18,000",1,z_SUV,no,"$19,217",2,Yes,3,17,Highly Urban/ Urban,50,0,3,10,1,114985.64281,0,Doctor,0,243925.2981,0,36.013334444,18000,3,17,0
7,1,2946,0,34,1,12,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0,No,0,7,Highly Urban/ Urban,34,0,1,12,0,125301.24254,0,z_Blue Collar,0,0,0,45.703012582,17430,0,7,0
8,0,0,0,54,0,,"$18,755",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban,54,0,3,10,1,18755.478478,0,z_Blue Collar,0,156413.52,1,33.290567397,8780,0,1,0
11,1,4021,1,37,2,,"$107,961",No,"$333,680",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970",1,Van,yes,"$2,374",1,Yes,10,7,Highly Urban/ Urban,37,0,2,10,1,107961.20104,0,z_Blue Collar,0,333679.54082,0,44.064410298,16970,1,7,0
12,1,2501,0,34,0,10,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban,34,0,1,10,0,62977.824161,0,Clerical,0,0,0,33.639949192,11200,0,1,0
13,0,0,0,50,0,7,"$106,952",No,$0,z_No,M,Bachelors,Professional,48,Commercial,"$18,510",7,Van,no,$0,0,No,1,17,z_Highly Rural/ Rural,50,0,3,7,0,106951.54011,0,Professional,0,0,0,47.931528942,18510,0,17,0
